Caliber,Bullet_Weight_gr,Distance_m,Drop_cm,Drop_MOA,Drop_MIL,Wind_cm_10mph,Velocity_mps,Energy_J
.223 Rem,55,100,0,0,0,0,988,1737
.223 Rem,55,200,-6.9,1.25,0.4,7.1,899,1440
.223 Rem,55,300,-25.7,3.25,0.9,22.4,814,1178
.223 Rem,55,400,-60.2,5.75,1.7,46.4,732,960
.223 Rem,55,500,-112.5,8.5,2.5,78.5,652,758
.223 Rem,55,600,-185.4,11.5,3.4,118.4,576,591
.223 Rem,55,700,-281.9,15.25,4.4,166,503,448
.223 Rem,55,800,-402.7,19.25,5.6,220.7,435,338
.223 Rem,55,900,-566.4,23.75,6.8,284.5,372,253
.223 Rem,55,1000,-765.8,28.75,8.3,357.7,314,180
.223 Rem,77,100,0,0,0,0,838,1753
.223 Rem,77,200,-7.4,1.25,0.4,5.6,786,1545
.223 Rem,77,300,-26.9,3.5,1,17.2,735,1360
.223 Rem,77,400,-62.2,5.75,1.7,35.1,683,1198
.223 Rem,77,500,-116.5,8.75,2.6,59.4,634,1052
.223 Rem,77,600,-191.9,12,3.5,90.7,585,921
.223 Rem,77,700,-293.2,15.75,4.6,127.3,540,809
.223 Rem,77,800,-422.1,19.75,5.8,169.7,494,708
.223 Rem,77,900,-584.2,24.5,7.1,218.9,451,617
.223 Rem,77,1000,-785.9,29.5,8.6,275.4,409,537
.308 Win,147,100,0,0,0,0,853,3470
.308 Win,147,200,-7.9,1.5,0.4,4.8,777,2872
.308 Win,147,300,-28.7,3.5,1.1,14.7,704,2347
.308 Win,147,400,-65.3,6.25,1.8,29.7,634,1877
.308 Win,147,500,-120.5,9.5,2.7,49.8,567,1474
.308 Win,147,600,-197.4,12.25,3.6,74.4,503,1121
.308 Win,147,700,-299.7,16,4.7,105.4,442,848
.308 Win,147,800,-432.3,20.25,5.9,142.8,387,640
.308 Win,147,900,-599.9,25.25,7.3,187.7,335,470
.308 Win,147,1000,-809.9,30.25,8.9,240.9,290,345
.308 Win,155,100,0,0,0,0,899,4051
.308 Win,155,200,-7.6,1.5,0.4,3.6,823,3400
.308 Win,155,300,-27.4,3.5,1,10.4,750,2832
.308 Win,155,400,-61,5.75,1.7,20.8,683,2362
.308 Win,155,500,-110.7,8.25,2.4,34.3,619,1963
.308 Win,155,600,-178,11.25,3.3,50.8,558,1608
.308 Win,155,700,-265.8,14.25,4.2,71.4,503,1397
.308 Win,155,800,-378.8,17.75,5.2,96,452,1158
.308 Win,155,900,-519,21.75,6.3,125,403,992
.308 Win,155,1000,-695.5,26,7.6,158.1,360,844
