Caliber,Bullet_Weight_gr,Distance_yd,WS_mph,Drift_in,Drift_MOA,Drift_MRAD
.223 Rem,55,100,1,0.00,0.00,0.0
.223 Rem,55,100,2,0.00,0.00,0.0
.223 Rem,55,100,5,0.00,0.00,0.0
.223 Rem,55,100,10,0.00,0.00,0.0
.223 Rem,55,100,15,0.00,0.00,0.0
.223 Rem,55,200,1,0.28,0.25,0.0
.223 Rem,55,200,2,0.56,0.25,0.1
.223 Rem,55,200,5,1.40,0.75,0.2
.223 Rem,55,200,10,2.80,1.25,0.4
.223 Rem,55,200,15,4.20,2.00,0.6
.223 Rem,55,300,1,0.88,0.25,0.1
.223 Rem,55,300,2,1.76,0.50,0.2
.223 Rem,55,300,5,4.40,1.50,0.4
.223 Rem,55,300,10,8.80,2.75,0.8
.223 Rem,55,300,15,13.20,4.25,1.2
.223 Rem,55,400,1,1.83,0.50,0.1
.223 Rem,55,400,2,3.66,0.75,0.3
.223 Rem,55,400,5,9.15,2.25,0.6
.223 Rem,55,400,10,18.30,4.25,1.3
.223 Rem,55,400,15,27.45,6.50,1.9
.223 Rem,55,500,1,3.09,0.50,0.2
.223 Rem,55,500,2,6.18,1.25,0.3
.223 Rem,55,500,5,15.45,3.00,0.9
.223 Rem,55,500,10,30.90,6.00,1.7
.223 Rem,55,500,15,46.35,8.75,2.6
.223 Rem,55,600,1,4.66,0.75,0.2
.223 Rem,55,600,2,9.32,1.50,0.4
.223 Rem,55,600,5,23.30,3.75,1.1
.223 Rem,55,600,10,46.60,7.50,2.2
.223 Rem,55,600,15,69.90,11.25,3.2
.223 Rem,55,700,1,6.54,1.00,0.3
.223 Rem,55,700,2,13.08,1.75,0.5
.223 Rem,55,700,5,32.70,4.50,1.3
.223 Rem,55,700,10,65.40,9.00,2.6
.223 Rem,55,700,15,98.10,13.50,3.9
.223 Rem,55,800,1,8.72,1.00,0.3
.223 Rem,55,800,2,17.44,2.00,0.6
.223 Rem,55,800,5,43.60,5.25,1.5
.223 Rem,55,800,10,87.20,10.50,3.0
.223 Rem,55,800,15,130.80,15.50,4.5
.223 Rem,55,900,1,11.20,1.25,0.3
.223 Rem,55,900,2,22.40,2.50,0.7
.223 Rem,55,900,5,56.00,6.00,1.7
.223 Rem,55,900,10,112.00,12.00,3.5
.223 Rem,55,900,15,168.00,17.75,5.2
.223 Rem,55,1000,1,14.08,1.25,0.4
.223 Rem,55,1000,2,28.16,2.75,0.8
.223 Rem,55,1000,5,70.40,6.75,2.0
.223 Rem,55,1000,10,140.80,13.50,3.9
.223 Rem,55,1000,15,211.20,20.25,5.9
.223 Rem,77,100,1,0.00,0.00,0.0
.223 Rem,77,100,2,0.00,0.00,0.0
.223 Rem,77,100,5,0.00,0.00,0.0
.223 Rem,77,100,10,0.00,0.00,0.0
.223 Rem,77,100,15,0.00,0.00,0.0
.223 Rem,77,200,1,0.22,0.00,0.0
.223 Rem,77,200,2,0.44,0.25,0.1
.223 Rem,77,200,5,1.10,0.50,0.2
.223 Rem,77,200,10,2.20,1.00,0.3
.223 Rem,77,200,15,3.30,1.50,0.5
.223 Rem,77,300,1,0.68,0.25,0.1
.223 Rem,77,300,2,1.36,0.50,0.1
.223 Rem,77,300,5,3.40,1.00,0.3
.223 Rem,77,300,10,6.80,2.25,0.6
.223 Rem,77,300,15,10.20,3.25,0.9
.223 Rem,77,400,1,1.38,0.25,0.1
.223 Rem,77,400,2,2.76,0.75,0.2
.223 Rem,77,400,5,6.90,1.75,0.5
.223 Rem,77,400,10,13.80,3.25,1.0
.223 Rem,77,400,15,20.70,5.00,1.4
.223 Rem,77,500,1,2.34,0.50,0.1
.223 Rem,77,500,2,4.68,1.00,0.3
.223 Rem,77,500,5,11.70,2.25,0.6
.223 Rem,77,500,10,23.40,4.50,1.3
.223 Rem,77,500,15,35.10,6.75,1.9
.223 Rem,77,600,1,3.57,0.50,0.2
.223 Rem,77,600,2,7.14,1.25,0.3
.223 Rem,77,600,5,17.85,2.75,0.8
.223 Rem,77,600,10,35.70,5.75,1.7
.223 Rem,77,600,15,53.55,8.50,2.5
.223 Rem,77,700,1,5.01,0.75,0.2
.223 Rem,77,700,2,10.02,1.25,0.4
.223 Rem,77,700,5,25.05,3.50,1.0
.223 Rem,77,700,10,50.10,6.75,2.0
.223 Rem,77,700,15,75.15,10.25,3.0
.223 Rem,77,800,1,6.70,0.75,0.2
.223 Rem,77,800,2,13.40,1.50,0.5
.223 Rem,77,800,5,33.50,4.00,1.2
